LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN
13.75,-86.25,2015,266,26.54,19.23
13.75,-85.75,2015,266,27.21,19.98
13.75,-85.25,2015,266,27.93,21.04
13.75,-84.75,2015,266,28.64,22.03
13.75,-84.25,2015,266,29.11,23
14.25,-86.25,2015,266,26.83,19.33
14.25,-85.75,2015,266,27.89,20.18
14.25,-85.25,2015,266,28.27,21.08
14.25,-84.75,2015,266,28.49,21.86
14.25,-84.25,2015,266,28.99,22.7
14.75,-86.25,2015,266,27.08,18.88
14.75,-85.75,2015,266,27.67,19.62
14.75,-85.25,2015,266,28.09,20.82
14.75,-84.75,2015,266,28.56,21.92
14.75,-84.25,2015,266,29.12,22.9
12.75,-86.25,2015,267,27.41,21.26
12.75,-85.75,2015,267,26.65,20.92
12.75,-85.25,2015,267,27.56,21.67
12.75,-84.75,2015,267,28.39,22.58
12.75,-84.25,2015,267,28.43,23.38
13.25,-86.25,2015,267,25.93,19.64
13.25,-85.75,2015,267,25.81,20.05
13.25,-85.25,2015,267,27.11,21.4
13.25,-84.75,2015,267,28.05,22.6
13.25,-84.25,2015,267,28.01,23.41
13.75,-86.25,2015,267,25.58,19.31
13.75,-85.75,2015,267,25.88,19.99
13.75,-85.25,2015,267,26.48,21.03
13.75,-84.75,2015,267,27.52,22.09
13.75,-84.25,2015,267,28.4,23.08
14.25,-86.25,2015,267,25.72,19.47
14.25,-85.75,2015,267,26.28,20.2
14.25,-85.25,2015,267,26.45,21.08
14.25,-84.75,2015,267,27.15,21.96
14.25,-84.25,2015,267,28.23,22.86
14.75,-86.25,2015,267,25.24,19.17
14.75,-85.75,2015,267,25.73,19.83
14.75,-85.25,2015,267,26.15,20.97
14.75,-84.75,2015,267,26.72,22.04
14.75,-84.25,2015,267,27.68,23
12.75,-86.25,2015,268,29.64,21.19
12.75,-85.75,2015,268,29.15,20.73
12.75,-85.25,2015,268,29.45,21.62
12.75,-84.75,2015,268,29.72,22.72
12.75,-84.25,2015,268,29.58,23.63
13.25,-86.25,2015,268,27.83,19.73
13.25,-85.75,2015,268,28.38,20.06
13.25,-85.25,2015,268,29.43,21.24
13.25,-84.75,2015,268,30.26,22.51
13.25,-84.25,2015,268,30.27,23.54
13.75,-86.25,2015,268,27.64,19.46
13.75,-85.75,2015,268,28.69,20.1
13.75,-85.25,2015,268,29.58,20.95
13.75,-84.75,2015,268,30.31,22.02
13.75,-84.25,2015,268,30.48,23.18
14.25,-86.25,2015,268,28.13,19.67
14.25,-85.75,2015,268,29.08,20.48
14.25,-85.25,2015,268,29.72,21.25
14.25,-84.75,2015,268,30.07,22.04
14.25,-84.25,2015,268,30.05,22.93
14.75,-86.25,2015,268,27.79,19.6
14.75,-85.75,2015,268,28.42,20.19
14.75,-85.25,2015,268,29.15,21.18
14.75,-84.75,2015,268,29.66,22.15
14.75,-84.25,2015,268,29.82,22.97
12.75,-86.25,2015,269,29.08,22.67
12.75,-85.75,2015,269,28.43,22.47
12.75,-85.25,2015,269,28.76,22.71
12.75,-84.75,2015,269,29.38,23.08
12.75,-84.25,2015,269,29.65,23.63
13.25,-86.25,2015,269,27.53,21
13.25,-85.75,2015,269,27.51,21.65
13.25,-85.25,2015,269,28.55,22.44
13.25,-84.75,2015,269,29.7,23.12
13.25,-84.25,2015,269,30.13,23.73
13.75,-86.25,2015,269,27.66,20.6
13.75,-85.75,2015,269,27.92,21.58
13.75,-85.25,2015,269,28.4,22.18
13.75,-84.75,2015,269,29.23,22.81
13.75,-84.25,2015,269,29.87,23.55
14.25,-86.25,2015,269,28.14,20.6
14.25,-85.75,2015,269,28.48,21.76
14.25,-85.25,2015,269,28.64,22.3
14.25,-84.75,2015,269,28.87,22.76
14.25,-84.25,2015,269,29.16,23.39
14.75,-86.25,2015,269,27.73,20.28
14.75,-85.75,2015,269,28.17,21.23
14.75,-85.25,2015,269,28.34,22.06
14.75,-84.75,2015,269,28.48,22.81
14.75,-84.25,2015,269,28.66,23.52
12.75,-86.25,2015,270,28.84,22.89
12.75,-85.75,2015,270,29.18,22.55
12.75,-85.25,2015,270,29.79,23.46
12.75,-84.75,2015,270,30.06,24.26
12.75,-84.25,2015,270,29.8,24.88
13.25,-86.25,2015,270,27.42,21.12
13.25,-85.75,2015,270,27.9,21.68
13.25,-85.25,2015,270,29.48,23.25
13.25,-84.75,2015,270,30.73,24.35
13.25,-84.25,2015,270,30.65,24.82
13.75,-86.25,2015,270,27.41,20.63
13.75,-85.75,2015,270,27.93,21.49
13.75,-85.25,2015,270,29.05,22.73
13.75,-84.75,2015,270,30.23,23.8
13.75,-84.25,2015,270,30.54,24.4
14.25,-86.25,2015,270,28.39,20.86
14.25,-85.75,2015,270,28.93,21.95
14.25,-85.25,2015,270,29.36,22.79
14.25,-84.75,2015,270,29.62,23.51
14.25,-84.25,2015,270,29.57,24.19
14.75,-86.25,2015,270,28.42,20.89
14.75,-85.75,2015,270,29.03,21.81
14.75,-85.25,2015,270,29.26,22.76
14.75,-84.75,2015,270,29.14,23.55
14.75,-84.25,2015,270,28.93,24.27
12.75,-86.25,2015,271,29.78,22.49
12.75,-85.75,2015,271,28.7,22.22
12.75,-85.25,2015,271,28.91,22.81
12.75,-84.75,2015,271,29.24,23.53
12.75,-84.25,2015,271,29.19,24.31
13.25,-86.25,2015,271,27.82,20.79
13.25,-85.75,2015,271,27.82,21.3
13.25,-85.25,2015,271,28.75,22.42
13.25,-84.75,2015,271,29.67,23.5
13.25,-84.25,2015,271,29.91,24.41
13.75,-86.25,2015,271,27.54,20.38
13.75,-85.75,2015,271,28.22,21.21
13.75,-85.25,2015,271,28.87,22.25
13.75,-84.75,2015,271,29.55,23.23
13.75,-84.25,2015,271,30.03,24.15
14.25,-86.25,2015,271,28.16,20.57
14.25,-85.75,2015,271,28.9,21.43
14.25,-85.25,2015,271,29.13,22.46
14.25,-84.75,2015,271,29.31,23.24
14.25,-84.25,2015,271,29.58,23.92
14.75,-86.25,2015,271,28.02,20.65
14.75,-85.75,2015,271,28.51,21.24
14.75,-85.25,2015,271,28.78,22.54
14.75,-84.75,2015,271,29.08,23.59
14.75,-84.25,2015,271,29.46,24.32
12.75,-86.25,2015,272,29.86,22.83
12.75,-85.75,2015,272,29.46,22.88
12.75,-85.25,2015,272,30.07,23.63
12.75,-84.75,2015,272,30.79,24.32
12.75,-84.25,2015,272,31.03,24.83
13.25,-86.25,2015,272,28.68,21.11
13.25,-85.75,2015,272,29.09,21.96
13.25,-85.25,2015,272,30.33,23.13
13.25,-84.75,2015,272,31.52,24.14
13.25,-84.25,2015,272,31.86,24.87
13.75,-86.25,2015,272,28.77,20.66
13.75,-85.75,2015,272,29.99,21.67
13.75,-85.25,2015,272,30.83,22.5
13.75,-84.75,2015,272,31.56,23.34
13.75,-84.25,2015,272,31.86,24.24
14.25,-86.25,2015,272,29.7,20.87
14.25,-85.75,2015,272,31.15,21.88
14.25,-85.25,2015,272,31.36,22.27
14.25,-84.75,2015,272,31.25,22.65
14.25,-84.25,2015,272,31.21,23.41
14.75,-86.25,2015,272,29.88,20.81
14.75,-85.75,2015,272,31.07,21.6
14.75,-85.25,2015,272,31.11,22.29
14.75,-84.75,2015,272,30.91,22.95
14.75,-84.25,2015,272,30.94,23.64
12.75,-86.25,2015,273,31.43,21.8
12.75,-85.75,2015,273,30.51,21.36
12.75,-85.25,2015,273,30.77,22.19
12.75,-84.75,2015,273,31.35,23.13
12.75,-84.25,2015,273,31.43,23.94
13.25,-86.25,2015,273,30.13,20.28
13.25,-85.75,2015,273,30.05,20.8
13.25,-85.25,2015,273,31.17,21.85
13.25,-84.75,2015,273,32.37,22.83
13.25,-84.25,2015,273,32.5,23.79
13.75,-86.25,2015,273,30.3,20.01
13.75,-85.75,2015,273,30.99,21
13.75,-85.25,2015,273,31.56,21.87
13.75,-84.75,2015,273,32.18,22.53
13.75,-84.25,2015,273,32.29,23.36
14.25,-86.25,2015,273,31.31,20.28
14.25,-85.75,2015,273,32.24,21.37
14.25,-85.25,2015,273,31.91,22.15
14.25,-84.75,2015,273,31.39,22.52
14.25,-84.25,2015,273,31.24,22.57
14.75,-86.25,2015,273,31.22,20.32
14.75,-85.75,2015,273,32.03,21.02
14.75,-85.25,2015,273,31.45,21.77
14.75,-84.75,2015,273,30.82,22.19
14.75,-84.25,2015,273,30.82,22.66
12.75,-86.25,2015,274,30.91,21.5
12.75,-85.75,2015,274,30.91,20.77
12.75,-85.25,2015,274,31.47,21.24
12.75,-84.75,2015,274,31.93,21.8
12.75,-84.25,2015,274,31.72,22.34
13.25,-86.25,2015,274,29.84,19.46
13.25,-85.75,2015,274,30.71,19.84
13.25,-85.25,2015,274,32.12,20.85
13.25,-84.75,2015,274,33.18,21.72
13.25,-84.25,2015,274,32.94,22.39
13.75,-86.25,2015,274,30.5,19.04
13.75,-85.75,2015,274,31.78,19.92
13.75,-85.25,2015,274,32.65,20.7
13.75,-84.75,2015,274,33.21,21.36
13.75,-84.25,2015,274,32.96,22.08
14.25,-86.25,2015,274,31.58,19.59
14.25,-85.75,2015,274,33.12,20.44
14.25,-85.25,2015,274,33.2,21.08
14.25,-84.75,2015,274,32.56,21.47
14.25,-84.25,2015,274,31.86,21.97
14.75,-86.25,2015,274,31.11,19.62
14.75,-85.75,2015,274,32.74,20.09
14.75,-85.25,2015,274,32.74,20.89
14.75,-84.75,2015,274,31.95,21.59
14.75,-84.25,2015,274,31.31,22.34
12.75,-86.25,2015,275,28.62,22.43
12.75,-85.75,2015,275,29.02,22.04
12.75,-85.25,2015,275,30.3,21.87
12.75,-84.75,2015,275,31.37,21.98
12.75,-84.25,2015,275,31.48,22.54
13.25,-86.25,2015,275,27.91,20.45
13.25,-85.75,2015,275,29.16,20.49
13.25,-85.25,2015,275,31.01,21.16
13.25,-84.75,2015,275,32.5,21.89
13.25,-84.25,2015,275,32.72,22.57
13.75,-86.25,2015,275,28.59,19.91
13.75,-85.75,2015,275,30.16,20.05
13.75,-85.25,2015,275,31.67,20.75
13.75,-84.75,2015,275,32.93,21.44
13.75,-84.25,2015,275,33.25,22.07
14.25,-86.25,2015,275,29.52,20.55
14.25,-85.75,2015,275,31.48,20.9
14.25,-85.25,2015,275,32.52,21.34
14.25,-84.75,2015,275,32.8,21.65
14.25,-84.25,2015,275,32.59,21.92
14.75,-86.25,2015,275,28.85,20.54
14.75,-85.75,2015,275,31.04,21.04
14.75,-85.25,2015,275,32.43,21.49
14.75,-84.75,2015,275,32.56,21.88
14.75,-84.25,2015,275,31.97,22.23
12.75,-86.25,2015,276,28.52,21.88
12.75,-85.75,2015,276,29.04,21.64
12.75,-85.25,2015,276,30.33,22.28
12.75,-84.75,2015,276,31.37,22.97
12.75,-84.25,2015,276,31.5,23.68
13.25,-86.25,2015,276,27.36,20.14
13.25,-85.75,2015,276,28.82,20.78
13.25,-85.25,2015,276,30.78,22.13
13.25,-84.75,2015,276,32.27,23.2
13.25,-84.25,2015,276,32.51,23.93
13.75,-86.25,2015,276,27.34,20.21
13.75,-85.75,2015,276,28.92,21.01
13.75,-85.25,2015,276,30.33,22.12
13.75,-84.75,2015,276,31.58,23.16
13.75,-84.25,2015,276,32.2,24.08
14.25,-86.25,2015,276,27.53,20.76
14.25,-85.75,2015,276,29,21.75
14.25,-85.25,2015,276,29.14,22.88
14.25,-84.75,2015,276,29.23,23.74
14.25,-84.25,2015,276,29.9,24.33
14.75,-86.25,2015,276,27.16,20.42
14.75,-85.75,2015,276,28.46,21.37
14.75,-85.25,2015,276,28,23.1
14.75,-84.75,2015,276,27.54,23.77
14.75,-84.25,2015,276,27.93,24.26
12.75,-86.25,2015,277,30.29,22.33
12.75,-85.75,2015,277,29.97,21.89
12.75,-85.25,2015,277,30.75,22.3
12.75,-84.75,2015,277,31.74,23.1
12.75,-84.25,2015,277,31.94,24.14
13.25,-86.25,2015,277,28.54,20.32
13.25,-85.75,2015,277,28.53,21.03
13.25,-85.25,2015,277,30.19,22.37
13.25,-84.75,2015,277,31.86,23.75
13.25,-84.25,2015,277,32.4,24.85
13.75,-86.25,2015,277,27.22,20.1
13.75,-85.75,2015,277,27.59,21.4
13.75,-85.25,2015,277,29.26,22.6
13.75,-84.75,2015,277,30.94,23.69
13.75,-84.25,2015,277,32,24.65
14.25,-86.25,2015,277,26.16,20.87
14.25,-85.75,2015,277,27.02,22.12
14.25,-85.25,2015,277,28.36,22.83
14.25,-84.75,2015,277,29.7,23.22
14.25,-84.25,2015,277,30.97,23.66
14.75,-86.25,2015,277,25.3,20.73
14.75,-85.75,2015,277,26.41,21.58
14.75,-85.25,2015,277,27.6,22.45
14.75,-84.75,2015,277,28.97,23.11
14.75,-84.25,2015,277,30.43,23.61
12.75,-86.25,2015,278,31.15,23.44
12.75,-85.75,2015,278,30.2,22.46
12.75,-85.25,2015,278,30.73,22.75
12.75,-84.75,2015,278,31.54,23.22
12.75,-84.25,2015,278,31.68,23.67
